target_id,seed,straight_mse_512,quadratic_bezier_mse_512,curve_to_straight_ratio,curve_relative_change,straight_candidate_renders,quadratic_bezier_candidate_renders,straight_runtime_seconds,quadratic_bezier_runtime_seconds
01_ring_symbol,73,0.014072591665997105,0.01357372484863468,0.9645504659551934,-0.03544953404480655,27200,27456,37.23583106899997,50.440645468000014
01_ring_symbol,137,0.012740373211794297,0.011994693418290391,0.9414711185372813,-0.05852888146271873,27520,27456,37.381096912999965,51.851419111999974
01_ring_symbol,211,0.012873811351478403,0.013010585833310809,1.0106242415783653,0.010624241578365279,27328,27072,36.23696519199996,51.13536589900002
02_curved_glyph,73,0.005183287056748505,0.004582493444841427,0.8840902297462262,-0.1159097702537738,27008,26880,35.62575758599996,52.74631135300001
02_curved_glyph,137,0.004766327318863487,0.004219332739861672,0.8852377223786125,-0.11476227762138747,27264,26944,35.42353664199993,50.45228139999995
02_curved_glyph,211,0.005023161230462491,0.004772962653054866,0.95019101200847,-0.049808987991529996,26944,27008,35.743836834000035,49.567432686000075
03_organic_silhouette,73,0.0024341922825030235,0.0027043062684536895,1.1109665772470998,0.1109665772470998,26944,26944,36.65982940599997,47.99390801200002
03_organic_silhouette,137,0.0026982175364305503,0.002600857408233412,0.9639168722007733,-0.03608312779922673,26944,26880,35.41887587499991,49.450711873000046
03_organic_silhouette,211,0.0027627621750548666,0.002679592759795913,0.9698962813339871,-0.030103718666012913,26944,26880,35.30590555799995,47.75152494000008
04_mixed_geometry,73,0.007449200180544543,0.006701071236999188,0.8995692254989627,-0.10043077450103732,27840,28416,34.096050597000044,47.35139024
04_mixed_geometry,137,0.007718126433148961,0.006637300957964883,0.859962714455935,-0.14003728554406503,28800,27904,34.827896608999936,46.955080123000016
04_mixed_geometry,211,0.006757403506570236,0.00702561715436596,1.0396918206134855,0.03969182061348553,27712,28352,32.667322758999944,47.420784854999965
05_layered_landscape,73,0.0016426846725305477,0.0011228439524649473,0.6835419914981076,-0.31645800850189243,27136,27008,34.11264434299983,48.27272387400012
05_layered_landscape,137,0.0014113920144082708,0.0012162882643419394,0.8617650177451733,-0.13823498225482667,27264,27392,32.90655280299984,47.795127183999966
05_layered_landscape,211,0.001383866414372377,0.0013011790110211518,0.940248999114032,-0.059751000885967964,26880,26880,32.6663423670002,45.330628254999965
06_dense_scene,73,0.018878714915775082,0.0204370121880707,1.0825425501284254,0.08254255012842537,27712,27456,34.407323688999895,47.34405616000004
06_dense_scene,137,0.018514372226627582,0.019744909086793282,1.0664638716940091,0.06646387169400914,27776,27904,32.9145796759999,46.36449157300012
06_dense_scene,211,0.019272448715606932,0.020177160387969264,1.0469432652649733,0.04694326526497328,27392,27648,33.39878722699996,46.6388187550001
