model,seed,examples,top1_correct,top1_accuracy,top1_wilson_low,top1_wilson_high,mean_true_margin,median_true_margin,predicted_true_rate,predicted_shift_position_rate,predicted_change_width_rate,predicted_change_intensity_rate,true_beats_shift_position_rate,mean_gap_shift_position_minus_true,median_gap_shift_position_minus_true,true_beats_change_width_rate,mean_gap_change_width_minus_true,median_gap_change_width_minus_true,true_beats_change_intensity_rate,mean_gap_change_intensity_minus_true,median_gap_change_intensity_minus_true
identity,-1,300,19,0.06333333333333334,0.04091655604878176,0.09679203948257407,-0.00031402569683749743,-0.00029124447610225004,0.06333333333333334,0.23333333333333334,0.31666666666666665,0.38666666666666666,0.45666666666666667,-2.524108254874837e-05,-1.6787496861099993e-05,0.2866666666666667,-9.4495104385717e-05,-0.00011629750952130017,0.4166666666666667,-0.00013108282371831998,-7.124964031395009e-05
mean_delta,-1,300,22,0.07333333333333333,0.048923631132474436,0.10853209579892667,-0.00027616640712945634,-0.0002552970545366,0.07333333333333333,0.26,0.32666666666666666,0.34,0.45666666666666667,-2.430658782638167e-05,-1.2586067896349978e-05,0.2966666666666667,-9.078450384549635e-05,-0.0001104730181396001,0.42,-9.878941903783002e-05,-6.755453068760004e-05
linear,11,300,62,0.20666666666666667,0.16469482669421182,0.25605598557112647,-0.00010046593791531744,-8.222452015616e-05,0.20666666666666667,0.16,0.53,0.10333333333333333,0.69,7.524006253030533e-05,7.313527748919991e-05,0.35,-4.210294272828567e-05,-3.778425161730004e-05,0.7533333333333333,0.00015200091268828032,0.00012324005365370002
linear,22,300,72,0.24,0.1951523988530105,0.29142218474581205,-8.355429342674641e-05,-7.456151070073247e-05,0.24,0.16333333333333333,0.4866666666666667,0.11,0.6933333333333334,7.7479010942623e-05,7.811683462935015e-05,0.39666666666666667,-2.4864919735898e-05,-3.505224594844996e-05,0.7666666666666667,0.00017298334855392098,0.00013891624985259998
linear,33,300,72,0.24,0.1951523988530105,0.29142218474581205,-8.644306915810535e-05,-7.753065438009799e-05,0.24,0.16333333333333333,0.47333333333333333,0.12333333333333334,0.69,7.770185805080934e-05,7.689032645435005e-05,0.38,-2.5470170464056667e-05,-3.736963844849995e-05,0.75,0.000162721191106053,0.00013020393089390006
mlp,11,300,79,0.2633333333333333,0.21671070808563797,0.3159405154466235,-8.559013605309813e-05,-7.066523539833724e-05,0.2633333333333333,0.11,0.5066666666666667,0.12,0.7933333333333333,0.00014798438816796802,0.00014810002176090002,0.38333333333333336,-3.453197520381133e-05,-4.3907872168350004e-05,0.7433333333333333,0.00017776205005551,0.0001458325132261999
mlp,22,300,82,0.2733333333333333,0.22600476318273954,0.3263935917495673,-7.810964190865533e-05,-7.010273111518472e-05,0.2733333333333333,0.11333333333333333,0.49666666666666665,0.11666666666666667,0.78,0.00015228139915658768,0.00014342396752904999,0.4066666666666667,-2.5982122024290672e-05,-3.091950202360001e-05,0.76,0.00018767638054365899,0.00014879737864245001
mlp,33,300,88,0.29333333333333333,0.24468550320426607,0.34720711452813136,-7.626026747552841e-05,-6.63831815472804e-05,0.29333333333333333,0.13333333333333333,0.44333333333333336,0.13,0.7633333333333333,0.0001393868686379103,0.00014028573059480002,0.43,-1.7549812619106666e-05,-2.2896274458600004e-05,0.7533333333333333,0.00016258679868769768,0.00013118379865775
