model,seeds,seed_count,examples_per_seed_min,examples_per_seed_max,top1_correct_mean,top1_accuracy_mean,top1_accuracy_seed_std,top1_accuracy_seed_min,top1_accuracy_seed_max,mean_true_margin,median_true_margin,predicted_true_rate,predicted_shift_position_rate,predicted_change_width_rate,predicted_change_intensity_rate,true_beats_shift_position_rate,true_beats_change_width_rate,true_beats_change_intensity_rate,mean_gap_shift_position_minus_true,mean_gap_change_width_minus_true,mean_gap_change_intensity_minus_true,median_gap_shift_position_minus_true,median_gap_change_width_minus_true,median_gap_change_intensity_minus_true
identity,-1,1,300,300,19.0,0.06333333333333334,0.0,0.06333333333333334,0.06333333333333334,-0.00031402569683749743,-0.00029124447610225004,0.06333333333333334,0.23333333333333334,0.31666666666666665,0.38666666666666666,0.45666666666666667,0.2866666666666667,0.4166666666666667,-2.524108254874837e-05,-9.4495104385717e-05,-0.00013108282371831998,-1.6787496861099993e-05,-0.00011629750952130017,-7.124964031395009e-05
mean_delta,-1,1,300,300,22.0,0.07333333333333333,0.0,0.07333333333333333,0.07333333333333333,-0.00027616640712945634,-0.0002552970545366,0.07333333333333333,0.26,0.32666666666666666,0.34,0.45666666666666667,0.2966666666666667,0.42,-2.430658782638167e-05,-9.078450384549635e-05,-9.878941903783002e-05,-1.2586067896349978e-05,-0.0001104730181396001,-6.755453068760004e-05
linear,"11,22,33",3,300,300,68.66666666666667,0.2288888888888889,0.01924500897298752,0.20666666666666667,0.24,-9.01544335000564e-05,-7.810556174566348e-05,0.2288888888888889,0.16222222222222224,0.49666666666666665,0.11222222222222222,0.6911111111111111,0.3755555555555555,0.7566666666666667,7.680697717457922e-05,-3.081267764274678e-05,0.00016256848411608476,7.604747952430004e-05,-3.673537867141665e-05,0.00013078674480006668
mlp,"11,22,33",3,300,300,83.0,0.27666666666666667,0.01527525231651948,0.2633333333333333,0.29333333333333333,-7.99866818124273e-05,-6.905038268693413e-05,0.27666666666666667,0.11888888888888889,0.4822222222222223,0.12222222222222223,0.7788888888888889,0.4066666666666667,0.7522222222222222,0.000146550885320822,-2.602130328240289e-05,0.00017600840976228892,0.00014393657329491667,-3.257454955018334e-05,0.00014193789684213332
