comparison,crowding,sample_id,stroke_x0,stroke_y0,stroke_x1,stroke_y1,stroke_width,stroke_value,stroke_length_normalized,changed_pixel_count,changed_pixel_fraction,pixel_mean_absolute_difference,global_cosine_distance,patch_mean_cosine_distance,patch_max_cosine_distance,patch_top10pct_mean_cosine_distance,changed_patch_fraction,patch_changed_region_mean_cosine_distance,patch_unchanged_region_mean_cosine_distance,localization_enrichment,localization_topk_recall,localization_topk_lift,patch_reference_region_mean_cosine_distance,patch_reference_outside_mean_cosine_distance,reference_region_enrichment
no_change,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,0,0.0,0.0,0.0,1.83936208486557e-08,2.980232238769531e-07,1.4901161193847656e-07,0.0,,1.83936208486557e-08,,,,0.0,1.9141328522209733e-08,0.0
tiny_pixel_noise,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,1487,0.363037109375,0.0019425934879109263,0.08754980564117432,0.20902188122272491,0.47263526916503906,0.384864866733551,0.99609375,0.20903487503528595,0.2057042121887207,1.0161915150454457,0.9960784316062927,0.9999846215341606,0.2457548826932907,0.20752865076065063,1.1841973712667153
pixel_matched_noise,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,1910,0.46630859375,0.011714920401573181,0.2209172248840332,0.355476438999176,0.6121619343757629,0.5761621594429016,1.0,0.355476438999176,,,1.0,1.0,0.3286304473876953,0.35656774044036865,0.9216494093992625
sparse_pixel_matched_noise,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,48,0.01171875,0.01171875,0.5723374485969543,0.42519786953926086,0.7666832804679871,0.7127264738082886,0.1796875,0.5220827460289001,0.4039754867553711,1.2923624406573198,0.3695652186870575,2.0567107822584068,0.32032111287117004,0.42946115136146545,0.7458674943139728
add_stroke,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,48,0.01171875,0.01171875,0.3642798662185669,0.412963330745697,0.8224901556968689,0.7358776926994324,0.0390625,0.7712370157241821,0.39839935302734375,1.935839026503763,0.699999988079071,17.91999969482422,0.7712370157241821,0.39839935302734375,1.935839026503763
shift_position,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,96,0.0234375,0.0234375,0.009456396102905273,0.047354042530059814,0.6362674236297607,0.20034097135066986,0.05859375,0.1272493451833725,0.04238130524754524,3.0024876402489484,0.3333333432674408,5.6888890584309895,0.11888600885868073,0.04444624111056328,2.6748270694690035
change_width,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,114,0.02783203125,0.02783203125,0.2183179259300232,0.17215780913829803,0.41927796602249146,0.3491669297218323,0.0625,0.36664021015167236,0.15919232368469238,2.3031274477647927,0.8125,13.0,0.39183443784713745,0.1632278710603714,2.4005363502058645
change_intensity,0,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,48,0.01171875,0.007352941203862429,0.04455149173736572,0.03759199380874634,0.11068511009216309,0.06135239079594612,0.0390625,0.06746648252010345,0.03637758642435074,1.8546167888406737,0.699999988079071,17.91999969482422,0.06746648252010345,0.03637758642435074,1.8546167888406737
no_change,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,0,0.0,0.0,0.0,1.7695128917694092e-08,2.384185791015625e-07,1.352566982859571e-07,0.0,,1.7695128917694092e-08,,,,2.9802322387695312e-08,1.720296616269934e-08,1.7323944083732936
tiny_pixel_noise,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,1519,0.370849609375,0.0020402497611939907,0.026386141777038574,0.08640455454587936,0.5050122737884521,0.33246228098869324,0.99609375,0.08663419634103775,0.027846217155456543,3.1111657234225634,0.9960784316062927,0.9999846215341606,0.01624864898622036,0.0892564207315445,0.182044595257648
