method,targets,mean_initial_mse,mean_final_mse,std_final_mse,mean_best_mse,mean_best_step,mean_final_mae,mean_relative_final_mse_improvement,mean_improved_steps,mean_elapsed_seconds,exact_top1_rate,exact_top5_rate,mean_exact_rank,mean_exact_regret,max_exact_regret,mean_score_exact_spearman
random,6,0.16495271298238853,0.14690501420924798,0.017584197338295377,0.13069207000201763,48.0,0.28980129720912373,0.09788395419157635,49.0,1.7669815903335195,,,,,,
exact_pixel,6,0.16495271298238853,0.045568784796084096,0.008245389032553377,0.04556562094717265,99.83333333333333,0.10095629659675372,0.7214024053959621,97.66666666666667,2.1827985139999933,,,,,,
learned_pixel,6,0.16495271298238853,0.0536302990792592,0.009257403298596418,0.05152298203771958,71.33333333333333,0.11582270567123487,0.6710550781934813,66.16666666666667,8.080211381666837,0.34,0.5983333333333333,5.943333333333334,0.00023794828126862436,0.0024910635324886243,
latent_mse,6,0.16495271298238853,0.07614162433302833,0.008770813266518221,0.07101977680690652,65.0,0.15527535104411072,0.525724268745915,63.0,11.963325965332993,0.09500000000000001,0.27166666666666667,21.526666666666667,0.001085671353119627,0.010173144838063308,0.5485155060404486
latent_ranking,6,0.16495271298238853,0.09093374049378629,0.012155555517455813,0.08347031597357575,53.5,0.17855216451183273,0.44238679912936707,58.166666666666664,12.407968784833429,0.05000000000000001,0.13,35.01166666666666,0.002337400868621747,0.014115018370830512,0.4258064127723063
