method,targets,mean_initial_mse,mean_final_mse,std_final_mse,mean_final_mae,mean_relative_mse_improvement,mean_improved_steps,mean_elapsed_seconds,exact_top1_rate,exact_top5_rate,mean_exact_rank,mean_exact_regret,max_exact_regret
random,6,0.1846928692078412,0.1559705640246799,0.013630890362929955,0.3083966757252104,0.14598201034557362,54.166666666666664,1.7400504308752716,,,,,
exact,6,0.1846928692078412,0.05047896592092601,0.003763148472810198,0.10982817528262478,0.7226987386303958,97.16666666666667,2.2164411596022546,,,,,
learned,6,0.1846928692078412,0.060032124131870014,0.008846214956115291,0.12528435162009066,0.6668870898745172,69.66666666666667,8.08138508365179,0.335,0.5866666666666667,7.511666666666667,0.00038666369748319504,0.0072982183137355
