model,seeds,seed_count,examples_per_seed_min,examples_per_seed_max,top1_correct_mean,top1_accuracy_mean,top1_accuracy_seed_std,top1_accuracy_seed_min,top1_accuracy_seed_max,mean_true_margin,median_true_margin,predicted_true_rate,predicted_shift_position_rate,predicted_change_width_rate,predicted_change_intensity_rate,true_beats_shift_position_rate,true_beats_change_width_rate,true_beats_change_intensity_rate,mean_gap_shift_position_minus_true,mean_gap_change_width_minus_true,mean_gap_change_intensity_minus_true,median_gap_shift_position_minus_true,median_gap_change_width_minus_true,median_gap_change_intensity_minus_true
identity,-1,1,300,300,11.0,0.03666666666666667,0.0,0.03666666666666667,0.03666666666666667,-0.2019744871618847,-0.1807267889380455,0.03666666666666667,0.02,0.23,0.7133333333333334,0.37,0.23,0.25333333333333335,0.004168683898945649,-0.04283865393605083,-0.13349832254073893,0.0,-0.06155022978782654,-0.18072678800672293
mean_delta,-1,1,300,300,8.0,0.02666666666666667,0.0,0.02666666666666667,0.02666666666666667,-0.19192301309667528,-0.16707735508680344,0.02666666666666667,0.03,0.24333333333333335,0.7,0.5766666666666667,0.23,0.26,0.004498333955804507,-0.040742789879441264,-0.12499537129265567,0.0006837546825408936,-0.05834392085671425,-0.16707735881209373
linear,"11,22,33",3,300,300,288.3333333333333,0.9611111111111111,0.006938886664887101,0.9533333333333334,0.9666666666666667,0.07403705406313142,0.0730397862692674,0.9611111111111111,0.0,0.0033333333333333335,0.035555555555555556,0.9966666666666667,0.9922222222222222,0.9633333333333333,0.3063751747242774,0.09936153910131906,0.13923163032685706,0.2886197922440867,0.07971344729109357,0.13794136606156826
mlp,"11,22,33",3,300,300,300.0,1.0,0.0,1.0,1.0,0.12401550599787799,0.10482172295451164,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.415448484005309,0.1444180840879945,0.21719044117516295,0.3717097027001728,0.11807096813815103,0.20087923288595752
exact_oracle,-1,1,300,300,300.0,1.0,0.0,1.0,1.0,0.1247444766573608,0.10174041613936424,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.41839812214175803,0.14544563439364178,0.21772280704230013,0.3682910203933713,0.11643477901816324,0.19684737175703004
